20° Tr Città di Firenze
Manifestazione organizzata da Firenze Nuota Master
100 FA50 DO100 MI200 SL50 FA100 SL50 RA400 MIStatistiche
Avvertenze
tabella oraria

N_G  Gara  Batt.  TGara	TProgr  Fine_Gara	

------------Turno 1 - 08 marzo 2014----------									

1   100FA   12   0:24   0:24   14:24	
2   50DO    30   0:41   1:05   15:05	
3   100MX   31   1:05   2:11   16:11	
4   200SL   28   1:35   3:47   17:47
	
------------Turno 2 - 09 marzo 2014----------									

1   50FA    24	 0:32   0:32   09:17	
2   100SL   42	 1:23   1:55   10:40	
3   50RA    32	 0:44   2:39   11:24	
4   400MX    6	 0:43   3:22   12:07	
100 FA

TOS NUOTO LIBERTAS ROSIGNANO        6     12     18     12     24     36 
TOS NUOTO LIFE STYLE A.S.DILET      2      4      6      4      7     11 
TOS NUOTO LIVORNO                   4      2      6      8      4     12 
TOS NUOTO LUCCA CAPANNORI           2      4      6      4      8     12 
TOS NUOTO SCANDICCI 1982            1      1      2      2      2      4 
TOS NUOTO UISP 2003                 1      2      3      2      4      6 
TOS NUOTO VALDINIEVOLE              2      1      3      4      2      6 
TOS NUOTOPIU' ACADEMY              15     20     35     30     40     70 
TOS POL. AMATORI PRATO              1      4      5      2      8     10 
TOS POLISPORTIVA SANGIULIANESE      0      5      5      0     10     10 
TOS TESEO TESEI PORTOFERRAIO        0      1      1      0      2      2 
TOS VERSILIANUOTO                   0      1      1      0      2      2 
TOS VIRTUS POGGIBONSI               2      5      7      4      9     13 

UMB CENTRO NUOTO BASTIA             0      1      1      0      2      2 

VEN GIS-GEST IMPIANTI SPORTIVI      0      1      1      0      2      2 
VEN S.S.D. STILELIBERO SRL          4     11     15      8     19     27 
-------------------------------------------------------------------------------
Totale società iscritte  67       197    438    635    384    834   1218 
