gender;category;event;pool;total_results;ponderated best;best results
M;SEN;100FA;25;14; 1'08"72;1'05"50;1'07"60;1'07"60;1'08"40;1'09"50;1'10"50
M;M20;100FA;25;75; 1'00"10;58"70;59"70;59"90;1'00"00;1'00"40;1'00"50
M;M25;100FA;25;51; 1'02"58;58"20;59"30;1'01"70;1'03"60;1'03"60;1'04"70
M;M30;100FA;25;48; 1'06"18;1'05"00;1'05"20;1'05"90;1'06"30;1'06"70;1'06"80
M;M35;100FA;25;28; 1'10"76;1'05"30;1'09"80;1'09"90;1'11"10;1'11"10;1'11"90
M;M40;100FA;25;43; 1'11"42;1'09"30;1'10"80;1'11"50;1'11"50;1'11"50;1'11"80
M;M45;100FA;25;23; 1'15"12;1'10"80;1'12"40;1'15"10;1'15"50;1'15"80;1'16"80
M;M50;100FA;25;8; 1'17"22;1'09"20;1'13"60;1'16"20;1'17"40;1'17"90;1'21"00
M;OVER;100FA;25;7; 1'35"38;1'20"70;1'24"60;1'25"50;1'26"10;1'36"90;2'03"80
M;SEN;50DO;25;97; 0'31"72;30"70;31"30;31"50;31"80;32"00;32"00
M;M20;50DO;25;274; 0'28"82;28"50;28"50;28"80;28"80;29"00;29"00
M;M25;50DO;25;219; 0'29"54;26"60;27"20;29"80;29"90;30"30;30"50
M;M30;50DO;25;234; 0'30"64;29"80;30"30;30"60;30"70;30"70;30"90
M;M35;50DO;25;189; 0'30"90;30"40;30"70;30"80;30"90;31"00;31"10
M;M40;50DO;25;118; 0'31"64;30"80;31"30;31"30;31"60;31"90;32"10
M;M45;50DO;25;103; 0'34"82;30"00;34"60;34"70;34"80;35"00;35"00
M;M50;50DO;25;78; 0'35"60;31"70;34"60;35"50;35"80;36"00;36"10
M;OVER;50DO;25;38; 0'39"94;35"80;35"90;36"30;41"30;43"00;43"20
M;SEN;100DO;25;21; 1'10"00;1'05"10;1'07"70;1'08"60;1'09"80;1'10"40;1'13"50
M;M20;100DO;25;70; 1'02"28;1'01"20;1'01"70;1'02"00;1'02"30;1'02"70;1'02"70
M;M25;100DO;25;57; 1'06"40;59"60;1'06"00;1'06"00;1'06"60;1'06"70;1'06"70
